,kickoff_time,kickoff_time_formatted,name,opponent_name,team_name,opponent_nextweek,predicted,actual
19275,2017-03-06T20:00:00Z,06 Mar 20:00,Pedro_Obiang,Chelsea,West Ham,Bournemouth,0.5158882,1.0
28057,2018-02-24T15:00:00Z,24 Feb 15:00,Dusan_Tadic,Burnley,Southampton,Stoke,0.2270802,3.0
35174,2018-04-22T15:30:00Z,22 Apr 16:30,Federico_Fernández,Man City,Swansea,Chelsea,0.13416633,0.0
19087,2017-05-13T16:30:00Z,13 May 17:30,Jonathan_Walters,Arsenal,Stoke,Southampton,3.6366372,1.0
21182,2017-01-15T16:00:00Z,15 Jan 16:00,James_Wilson,Liverpool,Man United,Stoke,0.099415004,0.0
20854,2016-08-13T11:30:00Z,13 Aug 12:30,Greg_Olley,Leicester,Hull,Swansea,1.6142164,0.0
34676,2018-03-17T15:00:00Z,17 Mar 15:00,Jonny_Evans,Bournemouth,West Brom,Burnley,0.9779796,5.0
38387,2018-04-21T11:30:00Z,21 Apr 12:30,James_McClean,Liverpool,West Brom,Newcastle,5.681215,2.0
11416,2016-12-14T20:00:00Z,14 Dec 20:00,Loïc_Remy,Man United,Crystal Palace,Chelsea,1.0589464,0.0
40822,2018-02-10T17:30:00Z,10 Feb 17:30,Marc_Albrighton,Man City,Leicester,Stoke,3.7892947,5.0
43787,2017-09-30T11:30:00Z,30 Sep 12:30,Jonas_Lössl,Tottenham,Huddersfield,Swansea,2.0294914,1.0
32987,2018-02-24T12:30:00Z,24 Feb 12:30,Robert_Huth,Stoke,Leicester,Bournemouth,0.15115657,0.0
19100,2016-11-19T15:00:00Z,19 Nov 15:00,Mason_Holgate,Swansea,Everton,Southampton,3.227913,0.0
15443,2016-10-22T14:00:00Z,22 Oct 15:00,Sullay_Kaikai,Leicester,Crystal Palace,Liverpool,0.138969,0.0
5335,2017-04-26T18:45:00Z,26 Apr 19:45,Daniel_Ayala,Sunderland,Middlesbrough,Man United,0.040368885,0.0
18606,2016-12-13T19:45:00Z,13 Dec 19:45,Simon_Francis,Leicester,Bournemouth,Southampton,0.68422,1.0
41279,2017-11-18T15:00:00Z,18 Nov 15:00,Sam_Field,Chelsea,West Brom,Tottenham,0.0906837,3.0
16585,2016-09-30T19:00:00Z,30 Sep 20:00,James_McArthur,Everton,Crystal Palace,West Ham,3.2408156,2.0
18392,2016-09-11T15:00:00Z,11 Sep 16:00,Abdul Rahman_Baba,Swansea,Chelsea,Liverpool,0.5185304,0.0
38771,2018-01-20T15:00:00Z,20 Jan 15:00,Connor_Mahoney,West Ham,Bournemouth,Chelsea,0.30258495,0.0
26625,2018-01-31T19:45:00Z,31 Jan 19:45,Ramiro_Funes Mori,Leicester,Everton,Arsenal,0.05147642,0.0
5157,2017-02-25T15:00:00Z,25 Feb 15:00,John_O'Shea,Everton,Sunderland,Man City,0.5621694,0.0
42914,2018-04-01T15:00:00Z,01 Apr 16:00,Toby_Alderweireld,Chelsea,Tottenham,Stoke,0.13633856,0.0
38576,2017-08-12T14:00:00Z,12 Aug 15:00,Fraser_Forster,Swansea,Southampton,West Ham,5.2413135,3.0
31275,2018-01-31T19:45:00Z,31 Jan 19:45,Cesc_Fàbregas,Bournemouth,Chelsea,Watford,2.4816036,0.0
42690,2018-04-28T14:00:00Z,28 Apr 15:00,Wesley_Hoedt,Bournemouth,Southampton,Everton,0.26979196,1.0
8834,2017-01-14T15:00:00Z,14 Jan 15:00,Jay_Rodriguez,Burnley,Southampton,Leicester,1.716763,8.0
10262,2017-04-02T12:30:00Z,02 Apr 13:30,Daniel_James,Middlesbrough,Swansea,Tottenham,1.3628871,0.0
31052,2018-03-10T15:00:00Z,10 Mar 15:00,Yoan_Gouffran,Southampton,Newcastle,Tottenham,0.8969164,0.0
43543,2018-02-10T12:30:00Z,10 Feb 12:30,Juan_Foyth,Arsenal,Tottenham,Crystal Palace,0.019429356,0.0
10105,2017-05-21T14:00:00Z,21 May 15:00,Sam_McQueen,Stoke,Southampton,0,1.9256264,0.0
24228,2018-05-13T14:00:00Z,13 May 15:00,Michail_Antonio,Everton,West Ham,0,0.82249403,0.0
41185,2018-03-31T11:30:00Z,31 Mar 12:30,Joel_Ward,Liverpool,Crystal Palace,Bournemouth,2.0894518,0.0
15307,2017-02-12T13:30:00Z,12 Feb 13:30,Paul_Robinson,Chelsea,Burnley,Hull,0.07080209,0.0
12214,2017-02-11T15:00:00Z,11 Feb 15:00,Kane_Wilson,West Ham,West Brom,Bournemouth,0.77446055,0.0
16307,2016-09-30T19:00:00Z,30 Sep 20:00,Tyias_Browning,Crystal Palace,Everton,Man City,0.11822295,0.0
35557,2018-03-17T17:30:00Z,17 Mar 17:30,Jon_Flanagan,Watford,Liverpool,Crystal Palace,4.9297223,0.0
44146,2017-12-30T15:00:00Z,30 Dec 15:00,Morgan_Schneiderlin,Bournemouth,Everton,Man United,1.6618534,2.0
24098,2017-12-10T12:00:00Z,10 Dec 12:00,Pierre-Emile_Højbjerg,Arsenal,Southampton,Leicester,2.2386665,0.0
20936,2016-09-10T14:00:00Z,10 Sep 15:00,Yohan_Cabaye,Middlesbrough,Crystal Palace,Stoke,2.8638754,0.0
24118,2018-04-28T14:00:00Z,28 Apr 15:00,Pierre-Emile_Højbjerg,Bournemouth,Southampton,Everton,2.9847856,2.0
24154,2017-08-19T14:00:00Z,19 Aug 15:00,Steve_Cook,Watford,Bournemouth,Man City,3.155415,0.0
7400,2016-12-18T13:30:00Z,18 Dec 13:30,Steve_Cook,Southampton,Bournemouth,Chelsea,2.4177854,-1.0
40071,2017-09-10T15:00:00Z,10 Sep 16:00,Mike_van der Hoorn,Newcastle,Swansea,Tottenham,3.055249,5.0
40177,2018-04-14T14:00:00Z,14 Apr 15:00,Muhamed_Besic,Swansea,Everton,Newcastle,0.037653446,0.0
40588,2018-04-16T19:00:00Z,16 Apr 20:00,Darren_Fletcher,West Ham,Stoke,Burnley,1.235805,0.0
19166,2016-08-21T15:00:00Z,21 Aug 16:00,Aaron_Cresswell,Bournemouth,West Ham,Man City,0.07313177,0.0
6556,2016-11-21T20:00:00Z,21 Nov 20:00,Hal_Robson-Kanu,Burnley,West Brom,Hull,3.2160158,1.0
20409,2016-12-03T17:30:00Z,03 Dec 17:30,Joel_Campbell,West Ham,Arsenal,Stoke,0.17407173,0.0
35929,2018-05-13T14:00:00Z,13 May 15:00,Alexandre_Lacazette,Huddersfield,Arsenal,0,1.5367512,0.0
34795,2018-04-28T14:00:00Z,28 Apr 15:00,Michael_Hefele,Everton,Huddersfield,Man City,0.17055827,0.0
24902,2017-10-28T14:00:00Z,28 Oct 15:00,Carl_Jenkinson,Swansea,Arsenal,Man City,3.8716185,0.0
6101,2017-01-14T15:00:00Z,14 Jan 15:00,Lewis_Cook,Hull,Bournemouth,Watford,3.2442646,0.0
32681,2018-02-03T15:00:00Z,03 Feb 15:00,Nemanja_Matic,Huddersfield,Man United,Newcastle,1.9343654,2.0
43662,2018-04-15T15:00:00Z,15 Apr 16:00,Allan-Roméo_Nyom,Man United,West Brom,Liverpool,2.9701483,1.0
2274,2017-01-21T15:00:00Z,21 Jan 15:00,Cristian_Gamboa,Sunderland,West Brom,Middlesbrough,1.7703091,0.0
14597,2016-12-31T15:00:00Z,31 Dec 15:00,Michael_Simões Domingues,Burnley,Sunderland,Liverpool,0.9335559,0.0
40449,2018-01-02T19:45:00Z,02 Jan 19:45,Lukasz_Fabianski,Tottenham,Swansea,Newcastle,2.3769784,3.0
25117,2018-04-22T15:30:00Z,22 Apr 16:30,Alfie_Mawson,Man City,Swansea,Chelsea,0.019429356,2.0
10217,2017-03-18T12:30:00Z,18 Mar 12:30,Gabriel Armando_de Abreu,West Brom,Arsenal,Man City,0.11309531,1.0
40081,2017-11-29T19:45:00Z,29 Nov 19:45,Mike_van der Hoorn,Chelsea,Swansea,Stoke,0.10200873,1.0
1549,2017-01-14T15:00:00Z,14 Jan 15:00,Jordon_Mutch,West Ham,Crystal Palace,Everton,0.08639324,0.0
35584,2017-12-26T15:00:00Z,26 Dec 15:00,Saido_Berahino,Huddersfield,Stoke,Chelsea,0.35771257,2.0
17557,2016-09-30T19:00:00Z,30 Sep 20:00,Gareth_Barry,Crystal Palace,Everton,Man City,1.801944,2.0
14227,2016-09-25T15:00:00Z,25 Sep 16:00,Diafra_Sakho,Southampton,West Ham,Middlesbrough,0.059877455,0.0
6078,2017-05-06T14:00:00Z,06 May 15:00,Jeff_Hendrick,West Brom,Burnley,Bournemouth,1.1014515,2.0
31404,2017-12-26T17:30:00Z,26 Dec 17:30,Jay_Fulton,Liverpool,Swansea,Watford,0.00079759955,0.0
6219,2017-02-11T12:30:00Z,11 Feb 12:30,Granit_Xhaka,Hull,Arsenal,Southampton,3.7187548,3.0
36785,2017-10-28T16:30:00Z,28 Oct 17:30,Gary_Cahill,Bournemouth,Chelsea,Man United,3.015609,6.0
7211,2016-10-15T14:00:00Z,15 Oct 15:00,Curtis_Davies,Bournemouth,Hull,Stoke,1.21173,1.0
30473,2018-04-14T14:00:00Z,14 Apr 15:00,Hamza_Choudhury,Burnley,Leicester,Southampton,2.0646942,1.0
30577,2017-10-21T11:30:00Z,21 Oct 12:30,Michy_Batshuayi,Watford,Chelsea,Bournemouth,0.07353631,1.0
22594,2017-05-07T15:00:00Z,07 May 16:00,Timothy_Fosu-Mensah,Arsenal,Man United,Tottenham,0.1684365,0.0
40921,2017-11-18T15:00:00Z,18 Nov 15:00,Mohamed_Salah,Southampton,Liverpool,Chelsea,0.7668429,7.0
31181,2017-09-30T14:00:00Z,30 Sep 15:00,Matteo_Darmian,Crystal Palace,Man United,Liverpool,0.06947139,6.0
27728,2017-12-16T15:00:00Z,16 Dec 15:00,Mario_Lemina,Chelsea,Southampton,Huddersfield,1.834762,2.0
25573,2018-01-31T19:45:00Z,31 Jan 19:45,Thibaut_Courtois,Bournemouth,Chelsea,Watford,0.14520466,1.0
34044,2017-08-13T15:00:00Z,13 Aug 16:00,Scott_McTominay,West Ham,Man United,Swansea,0.08997339,0.0
21055,2016-10-22T11:30:00Z,22 Oct 12:30,Harry_Arter,Tottenham,Bournemouth,Middlesbrough,3.2375565,2.0
15065,2017-01-01T13:30:00Z,01 Jan 13:30,Valon_Behrami,Tottenham,Watford,Stoke,0.06465945,1.0
34459,2017-09-11T19:00:00Z,11 Sep 20:00,Florent_Hadergjonaj,West Ham,Huddersfield,Leicester,0.31637624,0.0
40144,2017-08-12T14:00:00Z,12 Aug 15:00,Muhamed_Besic,Stoke,Everton,Man City,2.5626068,1.0
8925,2016-09-24T14:00:00Z,24 Sep 15:00,Enner_Valencia,Bournemouth,Everton,Crystal Palace,0.11982167,0.0
13097,2017-05-21T14:00:00Z,21 May 15:00,Marco_Van Ginkel,Sunderland,Chelsea,0,2.6702495,0.0
31000,2017-12-10T16:30:00Z,10 Dec 16:30,David_de Gea,Man City,Man United,Bournemouth,0.06535402,11.0
14236,2016-12-11T16:30:00Z,11 Dec 16:30,Diafra_Sakho,Liverpool,West Ham,Burnley,0.12183344,0.0
10012,2016-12-03T15:00:00Z,03 Dec 15:00,Robert_Huth,Sunderland,Leicester,Man City,0.18392608,1.0
17381,2016-12-26T12:30:00Z,26 Dec 12:30,Mile_Jedinak,Watford,Crystal Palace,Arsenal,0.04475245,0.0
2542,2016-09-24T14:00:00Z,24 Sep 15:00,Jakob_Haugaard,West Brom,Stoke,Man United,0.06710002,0.0
40198,2017-11-05T16:30:00Z,05 Nov 16:30,Marcus_Rashford,Chelsea,Man United,Newcastle,0.06344646,5.0
28033,2017-09-09T14:00:00Z,09 Sep 15:00,Dusan_Tadic,Watford,Southampton,Crystal Palace,2.2436461,3.0
29949,2018-05-09T18:45:00Z,09 May 19:45,Ross_Barkley,Huddersfield,Everton,Swansea,0.07313177,0.0
28594,2017-11-18T15:00:00Z,18 Nov 15:00,Olayinka Fredrick Oladotun_Ladapo,Everton,Crystal Palace,Stoke,1.102947,0.0
42659,2017-09-16T11:30:00Z,16 Sep 12:30,Wesley_Hoedt,Crystal Palace,Southampton,Man United,4.110882,2.0
32914,2018-05-08T18:45:00Z,08 May 19:45,Jack_Stephens,Swansea,Southampton,West Ham,3.246651,0.0
13009,2017-02-27T20:00:00Z,27 Feb 20:00,Matthew_James,Liverpool,Leicester,Hull,0.7232425,0.0
43387,2017-12-26T15:00:00Z,26 Dec 15:00,Edimilson_Fernandes,Bournemouth,West Ham,Tottenham,0.24013728,0.0
12878,2016-12-03T15:00:00Z,03 Dec 15:00,Nacer_Chadli,Watford,West Brom,Chelsea,0.4323061,1.0
19295,2016-10-22T14:00:00Z,22 Oct 15:00,David_Jones,Everton,Burnley,Man United,5.3408184,0.0
40638,2018-03-31T14:00:00Z,31 Mar 15:00,Phil_Jones,Swansea,Man United,Man City,0.06507158,0.0
8203,2016-12-26T15:00:00Z,26 Dec 15:00,Maarten_Stekelenburg,Leicester,Everton,Hull,0.060923547,0.0
1500,2016-10-29T14:00:00Z,29 Oct 15:00,Bradley_Smith,Middlesbrough,Bournemouth,Sunderland,3.199639,0.0
15030,2017-01-22T12:00:00Z,22 Jan 12:00,Jake_Hesketh,Leicester,Southampton,Swansea,5.364143,0.0
40000,2018-03-03T15:00:00Z,03 Mar 15:00,Glenn_Whelan,Southampton,Stoke,Man City,0.0876964,0.0
30420,2017-09-24T15:00:00Z,24 Sep 16:00,Shane_Duffy,Newcastle,Brighton,Arsenal,1.1482391,0.0
32368,2017-09-23T14:00:00Z,23 Sep 15:00,Romelu_Lukaku,Southampton,Man United,Crystal Palace,2.0641174,6.0
20582,2017-01-31T19:45:00Z,31 Jan 19:45,Jeff_Reine-Adelaide,Watford,Arsenal,Chelsea,0.2331737,0.0
33896,2017-09-16T14:00:00Z,16 Sep 15:00,Steven_Berghuis,Man City,Watford,Swansea,0.19376662,0.0
14692,2017-01-15T13:30:00Z,15 Jan 13:30,Oleksandr_Zinchenko,Everton,Man City,Tottenham,0.052972704,0.0
1134,2016-11-26T15:00:00Z,26 Nov 15:00,Ryan_Mason,West Brom,Hull,Middlesbrough,2.124808,2.0
554,2016-08-14T15:00:00Z,14 Aug 16:00,Theo_Walcott,Liverpool,Arsenal,Leicester,0.9637686,3.0
8757,2017-01-14T12:30:00Z,14 Jan 12:30,Luke_McGee,West Brom,Tottenham,Man City,2.5514734,0.0
9305,2016-11-05T15:00:00Z,05 Nov 15:00,Lys_Mousset,Sunderland,Bournemouth,Stoke,2.2278662,0.0
30987,2017-08-26T16:30:00Z,26 Aug 17:30,David_de Gea,Leicester,Man United,Stoke,0.13263851,2.0
21557,2017-05-21T14:00:00Z,21 May 15:00,Michel_Vorm,Hull,Tottenham,0,0.076399595,0.0
5294,2017-02-11T15:00:00Z,11 Feb 15:00,James_Collins,West Brom,West Ham,Watford,1.9561137,0.0
2515,2016-12-18T13:30:00Z,18 Dec 13:30,Florin_Gardos,Bournemouth,Southampton,Tottenham,3.9938316,0.0
31205,2018-05-10T18:45:00Z,10 May 19:45,Matteo_Darmian,West Ham,Man United,Swansea,2.079255,0.0
18592,2016-08-21T15:00:00Z,21 Aug 16:00,Simon_Francis,West Ham,Bournemouth,Crystal Palace,2.267759,2.0
212,2016-08-13T14:00:00Z,13 Aug 15:00,Chris_Brunt,Crystal Palace,West Brom,Everton,2.6077528,0.0
35137,2018-04-28T14:00:00Z,28 Apr 15:00,Tom_Davies,Huddersfield,Everton,Southampton,0.60774523,9.0
31782,2018-04-08T13:15:00Z,08 Apr 14:15,Calum_Chambers,Southampton,Arsenal,Newcastle,1.9014113,1.0
33595,2018-05-13T14:00:00Z,13 May 15:00,Cameron_Carter-Vickers,Leicester,Tottenham,0,2.3568802,0.0
11839,2017-02-11T15:00:00Z,11 Feb 15:00,Raphael_Spiegel,West Brom,West Ham,Watford,0.0118817985,0.0
20836,2017-01-14T12:30:00Z,14 Jan 12:30,Callum_McManaman,Tottenham,West Brom,Sunderland,0.5250101,0.0
17639,2017-01-04T20:00:00Z,04 Jan 20:00,Dominic_Solanke,Tottenham,Chelsea,Leicester,2.8276253,0.0
10645,2017-05-08T19:00:00Z,08 May 20:00,Dimitrios_Konstantopoulos,Chelsea,Middlesbrough,Southampton,0.050334245,0.0
36894,2017-09-16T14:00:00Z,16 Sep 15:00,Ashley_Fletcher,West Brom,West Ham,Tottenham,2.2657475,0.0
15969,2017-05-08T19:00:00Z,08 May 20:00,Carlos_De Pena,Chelsea,Middlesbrough,Southampton,1.0708007,0.0
22338,2016-10-17T19:00:00Z,17 Oct 20:00,Sergio_Romero,Liverpool,Man United,Chelsea,3.897915,0.0
40402,2018-04-15T12:30:00Z,15 Apr 13:30,Henri_Saivet,Arsenal,Newcastle,Everton,3.243562,0.0
31525,2018-02-12T20:00:00Z,12 Feb 20:00,Matt_Phillips,Chelsea,West Brom,Huddersfield,0.052972704,2.0
43785,2017-09-16T14:00:00Z,16 Sep 15:00,Jonas_Lössl,Leicester,Huddersfield,Burnley,0.98598015,7.0
30175,2018-02-12T20:00:00Z,12 Feb 20:00,Kyle_Jameson,Chelsea,Arsenal,Huddersfield,3.7253683,0.0
35149,2017-10-28T14:00:00Z,28 Oct 15:00,Federico_Fernández,Arsenal,Swansea,Brighton,0.13461068,1.0
21015,2016-10-01T14:00:00Z,01 Oct 15:00,Winston_Reid,Middlesbrough,West Ham,Crystal Palace,1.7646828,8.0
4486,2017-04-05T19:00:00Z,05 Apr 20:00,Harry_Wilson,Bournemouth,Arsenal,Stoke,0.5573053,0.0
2703,2016-12-31T15:00:00Z,31 Dec 15:00,Stewart_Downing,Man United,Middlesbrough,Leicester,0.19766065,1.0
32292,2017-09-23T14:00:00Z,23 Sep 15:00,Willy_Caballero,Stoke,Chelsea,Man City,0.66536885,0.0
22142,2016-12-31T17:30:00Z,31 Dec 17:30,Leroy_Sané,Liverpool,Man City,Burnley,0.066678435,0.0
3886,2016-09-26T19:00:00Z,26 Sep 20:00,Odion_Ighalo,Burnley,Watford,Bournemouth,4.156225,1.0
43353,2018-01-20T17:30:00Z,20 Jan 17:30,Bernardo Mota_Veiga de Carvalho e Silva,Newcastle,Man City,West Brom,0.05394897,3.0
3915,2017-05-01T19:00:00Z,01 May 20:00,Odion_Ighalo,Liverpool,Watford,Leicester,0.2331737,0.0
367,2016-09-10T16:30:00Z,10 Sep 17:30,Luis_Hernández,Liverpool,Leicester,Burnley,1.6951765,0.0
10604,2017-04-16T15:00:00Z,16 Apr 16:00,Ashley_Young,Chelsea,Man United,Burnley,2.5364497,3.0
41281,2017-11-28T20:00:00Z,28 Nov 20:00,Sam_Field,Newcastle,West Brom,Crystal Palace,2.0263066,2.0
7534,2017-05-13T11:30:00Z,13 May 12:30,Joe_Hart,Leicester,Man City,Watford,0.06431651,0.0
933,2017-01-31T19:45:00Z,31 Jan 19:45,Jonathan_Benteke,Bournemouth,Crystal Palace,Sunderland,0.007019758,0.0
26374,2018-03-31T14:00:00Z,31 Mar 15:00,Eldin_Jakupovic,Brighton,Leicester,Newcastle,0.084341615,0.0
2287,2017-04-29T14:00:00Z,29 Apr 15:00,Cristian_Gamboa,Leicester,West Brom,Burnley,0.02409643,0.0
39442,2017-10-14T14:00:00Z,14 Oct 15:00,Mark_Noble,Burnley,West Ham,Brighton,0.10256663,0.0
5866,2016-11-05T15:00:00Z,05 Nov 15:00,Jose Angel_Esmoris Tasende,Middlesbrough,Man City,Crystal Palace,0.15115657,0.0
26379,2018-05-05T14:00:00Z,05 May 15:00,Eldin_Jakupovic,West Ham,Leicester,Tottenham,0.35198706,0.0
43721,2017-12-12T20:00:00Z,12 Dec 20:00,Mark_Hudson,Chelsea,Huddersfield,Watford,1.0250555,0.0
42749,2017-12-23T15:00:00Z,23 Dec 15:00,Harry_Arter,Man City,Bournemouth,West Ham,1.1330292,0.0
20121,2016-12-13T19:45:00Z,13 Dec 19:45,Idrissa_Gueye,Arsenal,Everton,Liverpool,0.3988432,1.0
2054,2017-03-04T15:00:00Z,04 Mar 15:00,Jordi_Amat,Burnley,Swansea,Hull,2.9328556,0.0
26022,2017-12-02T15:00:00Z,02 Dec 15:00,Nikola_Vlasic,Huddersfield,Everton,Liverpool,0.9285609,0.0
22954,2017-05-16T18:45:00Z,16 May 19:45,Jermain_Defoe,Arsenal,Sunderland,Bournemouth,0.007243246,2.0
26852,2017-12-02T15:00:00Z,02 Dec 15:00,Adam_Legzdins,Leicester,Burnley,Watford,1.3651953,0.0
25797,2017-12-30T15:00:00Z,30 Dec 15:00,Joe_Rodon,Watford,Swansea,Tottenham,0.13779768,0.0
18398,2016-10-30T16:00:00Z,30 Oct 16:00,Abdul Rahman_Baba,Southampton,Chelsea,Everton,2.7362633,0.0
30981,2018-04-18T18:45:00Z,18 Apr 19:45,Bradley_Smith,Man United,Bournemouth,Southampton,2.523209,0.0
28654,2018-04-14T18:45:00Z,14 Apr 19:45,Mousa_Dembélé,Man City,Tottenham,Brighton,0.23168755,1.0
11389,2017-03-05T16:00:00Z,05 Mar 16:00,Josh_Robson,Man City,Sunderland,Middlesbrough,0.52945733,0.0
31662,2018-02-10T12:30:00Z,10 Feb 12:30,Ainsley_Maitland-Niles,Tottenham,Arsenal,Man City,0.03592941,0.0
44075,2018-02-04T16:30:00Z,04 Feb 16:30,Davinson_Sánchez,Liverpool,Tottenham,Arsenal,0.19599953,8.0
28109,2017-09-09T14:00:00Z,09 Sep 15:00,Heung-Min_Son,Everton,Tottenham,Swansea,0.2600885,3.0
13505,2016-09-24T14:00:00Z,24 Sep 15:00,Viktor_Fischer,Tottenham,Middlesbrough,West Ham,3.132883,4.0
20946,2016-12-03T15:00:00Z,03 Dec 15:00,Yohan_Cabaye,Southampton,Crystal Palace,Hull,3.9473724,0.0
30254,2018-03-11T13:30:00Z,11 Mar 13:30,Jerome_Sinclair,Arsenal,Watford,Liverpool,4.1182327,0.0
40314,2017-12-30T15:00:00Z,30 Dec 15:00,Beram_Kayal,Newcastle,Brighton,Bournemouth,1.7422893,0.0
8862,2017-01-01T16:00:00Z,01 Jan 16:00,Ainsley_Maitland-Niles,Crystal Palace,Arsenal,Bournemouth,2.9635239,0.0
37353,2017-09-30T14:00:00Z,30 Sep 15:00,Valon_Behrami,West Brom,Watford,Arsenal,0.62154436,0.0
42313,2018-05-08T18:45:00Z,08 May 19:45,Joshua_Sims,Swansea,Southampton,West Ham,0.2984482,0.0
1591,2017-02-11T15:00:00Z,11 Feb 15:00,Dionatan do Nascimento_Teixeira,Crystal Palace,Stoke,Tottenham,-0.020599961,0.0
13883,2016-09-12T19:00:00Z,12 Sep 20:00,Seamus_Coleman,Sunderland,Everton,Middlesbrough,2.2753918,10.0
38559,2018-01-02T19:45:00Z,02 Jan 19:45,Wilfried_Bony,Tottenham,Swansea,Newcastle,0.06545788,1.0
30483,2017-09-24T15:00:00Z,24 Sep 16:00,Isaac_Hayden,Brighton,Newcastle,Liverpool,0.027854085,1.0
14798,2016-11-27T16:30:00Z,27 Nov 16:30,Wayne_Rooney,West Ham,Man United,Everton,0.13196325,0.0
9577,2017-04-30T13:05:00Z,30 Apr 14:05,Oluwatosin_Adarabioyo,Middlesbrough,Man City,Crystal Palace,0.13822284,0.0
28813,2018-02-24T15:00:00Z,24 Feb 15:00,Nathan_Aké,Newcastle,Bournemouth,Leicester,0.02772829,2.0
8263,2016-09-24T14:00:00Z,24 Sep 15:00,Oviemuno_Ejaria,Hull,Liverpool,Swansea,0.081957996,0.0
25564,2017-12-09T12:30:00Z,09 Dec 12:30,Thibaut_Courtois,West Ham,Chelsea,Huddersfield,0.10594559,2.0
23216,2017-12-09T15:00:00Z,09 Dec 15:00,Jan_Vertonghen,Stoke,Tottenham,Brighton,0.09434408,6.0
17181,2017-04-15T14:00:00Z,15 Apr 15:00,Ritchie_de Laet,Crystal Palace,Leicester,Tottenham,3.383359,0.0
4749,2017-04-26T19:00:00Z,26 Apr 20:00,Nabil_Bentaleb,Crystal Palace,Tottenham,Southampton,0.7887096,0.0
19269,2017-01-14T15:00:00Z,14 Jan 15:00,Pedro_Obiang,Crystal Palace,West Ham,Middlesbrough,2.8803256,2.0
2982,2017-04-27T19:00:00Z,27 Apr 20:00,Eliaquim_Mangala,Man United,Man City,Sunderland,1.3710684,0.0
21860,2016-08-21T12:30:00Z,21 Aug 13:30,Fabio Pereira_da Silva,Sunderland,Middlesbrough,West Brom,2.2343976,0.0
43591,2018-05-05T14:00:00Z,05 May 15:00,Heurelho_Gomes,Newcastle,Watford,Man United,0.8044883,2.0
3593,2017-04-25T18:45:00Z,25 Apr 19:45,Oriol_Romeu Vidal,Chelsea,Southampton,Hull,2.0579076,3.0
36308,2018-01-20T15:00:00Z,20 Jan 15:00,Aleksandar_Dragovic,Watford,Leicester,Everton,0.36862725,1.0
4830,2017-04-15T11:30:00Z,15 Apr 12:30,Heung-Min_Son,Bournemouth,Tottenham,Leicester,2.5310562,17.0
7610,2017-05-14T13:15:00Z,14 May 14:15,Philippe_Coutinho,West Ham,Liverpool,Middlesbrough,0.0817011,10.0
23250,2017-12-13T19:45:00Z,13 Dec 19:45,Oumar_Niasse,Newcastle,Everton,Swansea,0.59834963,0.0
19204,2017-01-14T15:00:00Z,14 Jan 15:00,Michael_Ledger,Stoke,Sunderland,West Brom,1.4796766,0.0
4510,2016-12-19T20:00:00Z,19 Dec 20:00,Kevin_Stewart,Everton,Liverpool,Stoke,0.02729997,0.0
33878,2018-03-31T11:30:00Z,31 Mar 12:30,Oluwaseyi_Ojo,Crystal Palace,Liverpool,Everton,0.20269695,0.0
12067,2017-03-18T12:30:00Z,18 Mar 12:30,Alex_Iwobi,West Brom,Arsenal,Man City,2.5537274,1.0
15491,2016-12-31T17:30:00Z,31 Dec 17:30,Kelechi_Iheanacho,Liverpool,Man City,Burnley,1.4535744,1.0
18098,2016-11-05T15:00:00Z,05 Nov 15:00,Steven_Defour,Crystal Palace,Burnley,West Brom,0.22913405,1.0
14468,2017-01-02T17:15:00Z,02 Jan 17:15,Sam_Byram,Man United,West Ham,Crystal Palace,0.1881111,0.0
7756,2017-04-04T18:45:00Z,04 Apr 19:45,Almen_Abdi,West Brom,Watford,Tottenham,3.3647962,0.0
14945,2016-10-15T14:00:00Z,15 Oct 15:00,Vincent_Kompany,Everton,Man City,Southampton,0.91696227,1.0
5935,2016-09-11T15:00:00Z,11 Sep 16:00,Thibaut_Courtois,Swansea,Chelsea,Liverpool,0.07633442,2.0
29434,2018-03-11T16:00:00Z,11 Mar 16:00,Artur_Boruc,Tottenham,Bournemouth,West Brom,0.065443605,0.0
33916,2018-01-31T20:00:00Z,31 Jan 20:00,Steven_Berghuis,Stoke,Watford,Chelsea,0.6622919,0.0
15303,2017-01-14T15:00:00Z,14 Jan 15:00,Paul_Robinson,Southampton,Burnley,Arsenal,-0.013765991,0.0
22908,2017-02-25T17:30:00Z,25 Feb 17:30,Ben_Watson,West Ham,Watford,Southampton,0.05728528,0.0
1210,2016-11-27T16:30:00Z,27 Nov 16:30,Michail_Antonio,Man United,West Ham,Arsenal,2.4445086,0.0
31477,2017-12-12T20:00:00Z,12 Dec 20:00,Jeremie_Boga,Huddersfield,Chelsea,Southampton,0.10001838,0.0
29988,2017-09-16T14:00:00Z,16 Sep 15:00,Lee_Grant,Newcastle,Stoke,Chelsea,1.5583127,0.0
28772,2018-05-13T14:00:00Z,13 May 15:00,Héctor_Bellerín,Huddersfield,Arsenal,0,1.3785217,0.0
33686,2017-12-02T15:00:00Z,02 Dec 15:00,Philip_Billing,Everton,Huddersfield,Brighton,0.43670535,0.0
6741,2016-12-26T15:00:00Z,26 Dec 15:00,Ross_Barkley,Leicester,Everton,Hull,2.5017536,8.0
28891,2018-05-13T14:00:00Z,13 May 15:00,Wayne_Rooney,West Ham,Everton,0,1.4925897,0.0
