,kickoff_time,kickoff_time_formatted,name,opponent_name,team_name,opponent_nextweek,predicted,actual
24862,2018-04-01T12:30:00Z,01 Apr 13:30,Nacho_Monreal,Stoke,Arsenal,Southampton,0.04915932,0.0
34914,2017-08-26T11:30:00Z,26 Aug 12:30,Ryan_Fraser,Man City,Bournemouth,Arsenal,0.1394881,1.0
37332,2018-01-20T15:00:00Z,20 Jan 15:00,Sofiane_Feghouli,Bournemouth,West Ham,Crystal Palace,0.12665531,0.0
44748,2017-12-27T19:45:00Z,27 Dec 19:45,Aleksandar_Mitrovic,Man City,Newcastle,Brighton,2.82973,0.0
18357,2016-10-02T11:00:00Z,02 Oct 12:00,Glenn_Whelan,Man United,Stoke,Sunderland,0.25781584,3.0
33257,2017-12-18T20:00:00Z,18 Dec 20:00,Jordan_Ayew,Everton,Swansea,Crystal Palace,2.0156589,8.0
28798,2017-11-25T15:00:00Z,25 Nov 15:00,Nathan_Aké,Swansea,Bournemouth,Burnley,0.055347204,1.0
16081,2016-12-31T15:00:00Z,31 Dec 15:00,Jordon_Ibe,Swansea,Bournemouth,Arsenal,2.0199118,0.0
37870,2018-04-07T14:00:00Z,07 Apr 15:00,Fernando_Llorente,Stoke,Tottenham,Man City,0.13621521,0.0
4418,2016-11-19T15:00:00Z,19 Nov 15:00,Aleix_García Serrano,Crystal Palace,Man City,Burnley,0.053598553,0.0
38763,2018-04-28T14:00:00Z,28 Apr 15:00,Sam_Vokes,Brighton,Burnley,Arsenal,0.211339,2.0
26670,2018-03-31T14:00:00Z,31 Mar 15:00,Nathan_Redmond,West Ham,Southampton,Arsenal,0.30236715,0.0
1636,2017-04-09T15:00:00Z,09 Apr 16:00,Romelu_Lukaku,Leicester,Everton,Burnley,0.18527943,6.0
5878,2017-02-01T19:45:00Z,01 Feb 19:45,Jose Angel_Esmoris Tasende,West Ham,Man City,Swansea,0.6384016,0.0
20006,2017-04-01T14:00:00Z,01 Apr 15:00,Zlatan_Ibrahimovic,West Brom,Man United,Everton,0.028734982,7.0
32786,2017-12-12T19:45:00Z,12 Dec 19:45,Marc_Muniesa,Burnley,Stoke,West Ham,0.070527375,0.0
31164,2018-02-24T17:30:00Z,24 Feb 17:30,Maarten_Stekelenburg,Watford,Everton,Burnley,0.2754281,0.0
148,2016-11-27T16:30:00Z,27 Nov 16:30,Marouane_Fellaini,West Ham,Man United,Everton,0.062631726,0.0
21783,2017-05-21T14:00:00Z,21 May 15:00,Heurelho_Gomes,Man City,Watford,0,2.2456336,0.0
30640,2018-04-14T14:00:00Z,14 Apr 15:00,Leighton_Baines,Swansea,Everton,Newcastle,0.0935587,8.0
40364,2018-04-07T14:00:00Z,07 Apr 15:00,Jamie_Murphy,Huddersfield,Brighton,Crystal Palace,0.5030006,0.0
15963,2017-04-02T12:30:00Z,02 Apr 13:30,Carlos_De Pena,Swansea,Middlesbrough,Hull,3.1175153,0.0
21313,2017-01-31T19:45:00Z,31 Jan 19:45,Mohamed_Elneny,Watford,Arsenal,Chelsea,1.3166873,0.0
16197,2016-11-06T15:00:00Z,06 Nov 15:00,Cameron_Borthwick-Jackson,Swansea,Man United,Arsenal,1.0549935,0.0
15062,2016-12-14T20:00:00Z,14 Dec 20:00,Valon_Behrami,Man City,Watford,Sunderland,0.7612281,1.0
1237,2016-09-11T15:00:00Z,11 Sep 16:00,Oliver_McBurnie,Chelsea,Swansea,Southampton,1.3488474,0.0
20844,2017-03-18T12:30:00Z,18 Mar 12:30,Callum_McManaman,Arsenal,West Brom,Man United,0.38567805,0.0
37161,2017-09-17T15:00:00Z,17 Sep 16:00,Daley_Blind,Everton,Man United,Southampton,3.0517023,1.0
19846,2017-05-14T11:00:00Z,14 May 12:00,Jonathan_Williams,Hull,Crystal Palace,Man United,3.994425,0.0
16798,2017-04-01T14:00:00Z,01 Apr 15:00,Wilfried_Zaha,Chelsea,Crystal Palace,Southampton,2.2354326,2.0
22355,2017-02-11T15:00:00Z,11 Feb 15:00,Sergio_Romero,Watford,Man United,Man City,0.104164064,0.0
30176,2018-02-24T15:00:00Z,24 Feb 15:00,Kyle_Jameson,Huddersfield,Arsenal,Watford,1.3467216,0.0
29573,2018-05-10T18:45:00Z,10 May 19:45,Patrice_Evra,Man United,Bournemouth,Southampton,0.045930624,0.0
28505,2018-05-05T11:30:00Z,05 May 12:30,Pape_Souaré,Stoke,Crystal Palace,West Brom,0.81197035,1.0
39488,2017-12-10T14:15:00Z,10 Dec 14:15,Dominic_Solanke,Everton,Liverpool,West Brom,3.1661208,1.0
2838,2016-09-25T15:00:00Z,25 Sep 16:00,Sofiane_Boufal,West Ham,Southampton,Leicester,0.30521536,0.0
22490,2016-10-15T14:00:00Z,15 Oct 15:00,Rickie_Lambert,Tottenham,West Brom,Liverpool,0.06913522,0.0
17860,2016-11-26T15:00:00Z,26 Nov 15:00,Leiva_Lucas,Sunderland,Liverpool,Bournemouth,0.8235074,2.0
21308,2016-12-26T15:00:00Z,26 Dec 15:00,Mohamed_Elneny,West Brom,Arsenal,Crystal Palace,0.32856855,3.0
5323,2016-12-14T19:45:00Z,14 Dec 19:45,Daniel_Ayala,Liverpool,Middlesbrough,Swansea,3.801559,0.0
30412,2018-04-28T14:00:00Z,28 Apr 15:00,Phil_Bardsley,Brighton,Burnley,Arsenal,3.2082498,0.0
269,2017-01-03T20:00:00Z,03 Jan 20:00,Sung-yueng_Ki,Crystal Palace,Swansea,Arsenal,1.6849787,1.0
39189,2017-12-30T15:00:00Z,30 Dec 15:00,Costel_Pantilimon,Swansea,Watford,Man City,0.2116839,0.0
35869,2017-12-09T15:00:00Z,09 Dec 15:00,Lewis_Dunk,Huddersfield,Brighton,Tottenham,0.58142763,1.0
