first_name,second_name,actual,predicted,element_type,diff
Emerson,Palmieri dos Santos,0,0.010249257,2,0.01024925708770752
Ruben,Loftus-Cheek,26,26.963343,3,0.9633426666259766
Wayne,Hennessey,62,62.25144,1,0.2514381408691406
Julian,Speroni,0,0.020103484,1,0.020103484392166138
James,Tomkins,35,35.030327,2,0.03032684326171875
Scott,Dann,0,0.0075004995,2,0.007500499486923218
Joel,Ward,2,2.0075183,2,0.007518291473388672
Martin,Kelly,3,3.0043173,2,0.004317283630371094
Pape,SouarÃ©,1,1.0048585,2,0.004858493804931641
Jeffrey,Schlupp,26,26.940388,2,0.9403877258300781
Patrick,van Aanholt,55,55.012478,2,0.012477874755859375
Jason,Puncheon,2,2.0042002,3,0.0042002201080322266
Wilfried,Zaha,46,46.0535,3,0.053501129150390625
James,McArthur,43,42.640953,3,0.35904693603515625
Bakary,Sako,0,0.018308789,3,0.018308788537979126
Andros,Townsend,50,49.61728,3,0.382720947265625
Luka,Milivojevic,50,50.093758,3,0.09375762939453125
Connor,Wickham,1,1.0048585,4,0.004858493804931641
Christian,Benteke,8,8.004057,4,0.0040569305419921875
Mamadou,Sakho,46,46.40357,2,0.4035682678222656
Timothy,Fosu-Mensah,4,4.005668,2,0.005668163299560547
Jairo,Riedewald,0,0.010249257,2,0.01024925708770752
Sullay,Kaikai,0,0.010249257,3,0.01024925708770752
Aaron,Wan-Bissaka,49,48.69,3,0.3100013732910156
Jaroslaw,Jach,0,0.010249257,2,0.01024925708770752
Alexander,SÃ¸rloth,11,11.008866,4,0.008866310119628906
Theo,Walcott,55,55.075104,3,0.075103759765625
Jordan,Pickford,66,65.287094,1,0.7129058837890625
Maarten,Stekelenburg,0,0.010249257,1,0.01024925708770752
Leighton,Baines,5,5.0196543,2,0.019654273986816406
Seamus,Coleman,38,37.92776,2,0.07223892211914062
Phil,Jagielka,-2,0.019448698,2,2.019448697566986
Ashley,Williams,0,0.014524907,2,0.014524906873703003
Mason,Holgate,5,5.004762,2,0.004762172698974609
Jonjoe,Kenny,13,13.013595,2,0.013594627380371094
Michael,Keane,59,58.709797,2,0.2902030944824219
Yannick,Bolasie,0,0.010249257,3,0.01024925708770752
Kevin,Mirallas,0,0.010249257,3,0.01024925708770752
James,McCarthy,0,0.010249257,3,0.01024925708770752
Morgan,Schneiderlin,10,10.007888,3,0.007887840270996094
Idrissa,Gueye,29,29.114971,3,0.11497116088867188
Tom,Davies,11,11.019732,3,0.01973247528076172
Ademola,Lookman,13,13.003033,3,0.003032684326171875
Davy,Klaassen,0,0.010249257,3,0.01024925708770752
Dominic,Calvert-Lewin,25,25.006134,4,0.006134033203125
Sandro,RamÃ­rez,0,0.010249257,4,0.01024925708770752
Gylfi,Sigurdsson,76,76.33487,3,0.334869384765625
Cuco,Martina,0,0.023533136,2,0.023533135652542114
Nikola,Vlasic,0,0.010249257,3,0.01024925708770752
Oumar,Niasse,4,4.028976,4,0.028975963592529297
Beni,Baningime,0,0.010249257,3,0.01024925708770752
Cenk,Tosun,31,30.995956,4,0.0040435791015625
Jonas,LÃ¶ssl,40,40.393967,1,0.3939666748046875
Christopher,Schindler,47,46.71097,2,0.2890281677246094
Chris,LÃ¶we,30,29.999384,2,0.0006160736083984375
Tommy,Smith,5,5.0068393,2,0.006839275360107422
Jon Gorenc,Stankovic,6,6.00228,2,0.0022802352905273438
Mathias,Jorgensen,41,40.963787,2,0.036212921142578125
Aaron,Mooy,42,41.81769,3,0.18230819702148438
Rajiv,van La Parra,10,9.998709,3,0.0012912750244140625
Jonathan,Hogg,27,26.950632,3,0.04936790466308594
Philip,Billing,36,35.954395,3,0.045604705810546875
Elias,Kachunga,4,3.9971747,3,0.0028252601623535156
Tom,Ince,0,0.020955592,3,0.020955592393875122
Danny,Williams,2,2.0056992,3,0.00569915771484375
Collin,Quaner,0,0.06166306,4,0.06166306138038635
Laurent,Depoitre,21,21.003914,4,0.00391387939453125
Steve,Mounie,23,22.999569,4,0.000431060791015625
Scott,Malone,0,0.012447983,2,0.012447983026504517
Florent,Hadergjonaj,30,29.96905,2,0.030950546264648438
Abdelhamid,Sabiri,2,2.0038505,3,0.0038504600524902344
Terence,Kongolo,30,29.995613,2,0.00438690185546875
Alex,Pritchard,29,29.098307,3,0.09830665588378906
Kasper,Schmeichel,53,52.868755,1,0.13124465942382812
Ben,Hamer,4,4.00235,1,0.002349853515625
Wes,Morgan,28,28.102777,2,0.10277748107910156
Christian,Fuchs,0,0.020299107,2,0.02029910683631897
Danny,Simpson,3,3.0142496,2,0.014249563217163086
Yohan,Benalouane,0,0.010249257,2,0.01024925708770752
Benjamin,Chilwell,54,54.0676,2,0.06760025024414062
Harry,Maguire,41,41.030567,2,0.030567169189453125
Riyad,Mahrez,61,60.230106,3,0.7698936462402344
Marc,Albrighton,31,30.924465,3,0.07553482055664062
Demarai,Gray,38,37.9972,3,0.00279998779296875
Daniel,Amartey,15,14.998849,3,0.0011510848999023438
Nampalys,Mendy,33,32.945683,3,0.054317474365234375
Wilfred,Ndidi,39,38.81383,3,0.18616867065429688
Vicente,Iborra,8,8.011359,3,0.011359214782714844
Jamie,Vardy,51,51.042294,4,0.042293548583984375
Shinji,Okazaki,13,13.030415,4,0.030414581298828125
Kelechi,Iheanacho,43,42.609577,4,0.3904228210449219
Eldin,Jakupovic,0,0.010249257,1,0.01024925708770752
Matty,James,0,0.010249257,3,0.01024925708770752
Hamza,Choudhury,0,0.010249257,3,0.01024925708770752
Adrien Sebastian,Perruchet Silva,3,3.0028183,3,0.0028183460235595703
Fousseni,DiabatÃ©,1,1.0048585,4,0.004858493804931641
Alex,Oxlade-Chamberlain,0,0.00513795,3,0.00513795018196106
Simon,Mignolet,0,0.012447983,1,0.012447983026504517
Loris,Karius,0,0.0076869726,1,0.007686972618103027
Dejan,Lovren,26,26.93594,2,0.9359397888183594
Alberto,Moreno,4,4.0275145,2,0.02751445770263672
Nathaniel,Clyne,0,0.010249257,2,0.01024925708770752
Joseph,Gomez,52,51.977245,2,0.022754669189453125
Joel,Matip,22,21.980984,2,0.019016265869140625
Ragnar,Klavan,0,0.0072362125,2,0.007236212491989136
James,Milner,55,54.86314,2,0.13685989379882812
Trent,Alexander-Arnold,73,72.98986,2,0.01013946533203125
Jordan,Henderson,18,17.992836,3,0.00716400146484375
Adam,Lallana,6,6.00228,3,0.0022802352905273438
Sadio,ManÃ©,80,80.490234,3,0.490234375
Georginio,Wijnaldum,45,44.804462,3,0.19553756713867188
Mohamed,Salah,90,89.39395,3,0.606048583984375
Roberto,Firmino,62,62.03036,4,0.030361175537109375
Danny,Ings,44,44.531708,4,0.531707763671875
Divock,Origi,11,11.008866,4,0.008866310119628906
Dominic,Solanke,0,0.025782675,4,0.025782674551010132
Virgil,van Dijk,74,74.1491,2,0.14910125732421875
Andrew,Robertson,84,83.39066,2,0.6093368530273438
Danny,Ward,17,17.128056,1,0.12805557250976562
Danny,Ward,17,17.128056,1,0.12805557250976562
Danny,Ward,0,0.010249257,1,0.01024925708770752
Danny,Ward,0,0.010249257,1,0.01024925708770752
Rafael,Camacho,0,0.010249257,3,0.01024925708770752
Ederson,Santana de Moraes,72,71.98997,1,0.01003265380859375
Claudio,Bravo,0,0.010249257,1,0.01024925708770752
John,Stones,40,40.479916,2,0.4799156188964844
Vincent,Kompany,19,19.009745,2,0.009744644165039062
NicolÃ¡s,Otamendi,27,26.917469,2,0.08253097534179688
Fabian,Delph,24,24.002,3,0.0020008087158203125
Raheem,Sterling,104,104.21186,3,0.21186065673828125
David,Silva,70,70.06578,3,0.0657806396484375
Fernando,Luiz Rosa,50,50.014145,3,0.0141448974609375
Kevin,De Bruyne,2,2.064939,3,0.06493902206420898
Ilkay,GÃ¼ndogan,48,48.225094,3,0.22509384155273438
Leroy,SanÃ©,81,80.99492,3,0.0050811767578125
Bernardo Mota,Veiga de Carvalho e Silva,66,65.435974,3,0.56402587890625
Sergio,AgÃ¼ero,82,81.91222,4,0.0877838134765625
Gabriel Fernando,de Jesus,26,26.941433,4,0.9414329528808594
Kyle,Walker,62,62.235123,2,0.2351226806640625
Danilo Luiz,da Silva,2,2.0066652,2,0.006665229797363281
Benjamin,Mendy,57,56.978577,2,0.02142333984375
Phil,Foden,7,7.0025716,3,0.002571582794189453
Brahim,Diaz,0,0.010249257,3,0.01024925708770752
Oleksandr,Zinchenko,4,4.00235,3,0.002349853515625
Aymeric,Laporte,67,67.04374,2,0.04373931884765625
Alexis,SÃ¡nchez,29,29.039343,3,0.03934288024902344
Nemanja,Matic,20,20.034492,3,0.03449249267578125
David,De Gea,43,42.62967,1,0.370330810546875
Sergio,Romero,0,0.010249257,1,0.01024925708770752
Chris,Smalling,34,34.023914,2,0.023914337158203125
Phil,Jones,1,1.158266,2,0.15826594829559326
Luke,Shaw,31,30.997023,2,0.0029773712158203125
Marcos,Rojo,-2,0.010599166,2,2.0105991661548615
Antonio,Valencia,10,9.988589,2,0.011410713195800781
Matteo,Darmian,11,11.008866,2,0.008866310119628906
Daley,Blind,0,0.010249257,2,0.01024925708770752
Eric,Bailly,6,6.012135,2,0.012135028839111328
