yellow_cards,goals_conceded,saves,influence,goals_scored,id,first_name,own_goals,creativity,end_cost,ict_index,season,total_points,penalties_missed,start_cost,element_code,bonus,season_name,clean_sheets,assists,ea_index,penalties_saved,minutes,bps,element_type,threat,team,red_cards,second_name
1,38,0,0.0,4,35,Andrew,0,0.0,44,0.0,6,76,0,45,15237,6,2011/12,2,1,212,0,1914,0,3,0.0,91,0,Surman
0,6,0,0.0,0,35,Andrew,0,0.0,43,0.0,7,7,0,50,15237,0,2012/13,1,0,11,0,270,0,3,0.0,91,0,Surman
0,0,0,0.0,0,35,Andrew,0,0.0,45,0.0,8,0,0,45,15237,0,2013/14,0,0,0,0,0,0,3,0.0,91,0,Surman
4,67,0,0.0,0,35,Andrew,0,0.0,43,0.0,10,90,0,45,15237,2,2015/16,7,3,385,0,3420,603,3,0.0,91,0,Surman
1,38,0,256.8,0,35,Andrew,0,223.8,46,57.0,11,44,0,50,15237,0,2016/17,4,1,0,0,1800,288,3,90.0,91,1,Surman
2,29,0,458.0,2,35,Andrew,0,261.1,43,84.0,12,82,0,45,15237,9,2017/18,5,5,0,0,1851,363,3,121.0,91,0,Surman
1,7,0,0.0,2,36,Junior,0,0.0,43,0.0,3,27,0,43,56872,1,2008/09,0,0,0,0,628,0,3,0.0,91,0,Stanislas
2,29,0,0.0,2,36,Junior,0,0.0,49,0.0,4,60,0,50,56872,1,2009/10,0,4,0,0,1251,0,3,0.0,91,0,Stanislas
0,3,0,0.0,1,36,Junior,0,0.0,50,0.0,5,16,0,50,56872,0,2010/11,1,0,0,0,348,0,3,0.0,91,0,Stanislas
1,22,0,0.0,3,36,Junior,0,0.0,40,0.0,10,65,0,45,56872,5,2015/16,5,2,217,0,1436,250,3,0.0,91,0,Stanislas
1,29,0,454.6,7,36,Junior,0,406.9,46,128.0,11,107,0,55,56872,13,2016/17,4,6,0,0,1467,372,3,418.0,91,0,Stanislas
1,22,0,394.8,5,36,Junior,0,377.2,57,125.1,12,75,0,60,56872,7,2017/18,2,3,0,0,1285,285,3,483.0,91,0,Stanislas
1,0,0,0.0,2,37,Dan,0,0.0,45,0.0,3,35,0,45,40387,0,2008/09,0,1,0,0,589,0,3,0.0,91,0,Gosling
0,7,0,0.0,2,37,Dan,0,0.0,46,0.0,4,23,0,50,40387,0,2009/10,0,0,0,0,349,0,3,0.0,91,0,Gosling
